Date,Price (USD)
2022-01-29,1.2339495779095442
2022-01-30,1.3845236908742893
2022-01-31,1.597748098415829
2022-02-01,1.4317176799802036
2022-02-02,1.5286848548300196
2022-02-03,1.3279010423474276
2022-02-04,1.3152784050330282
2022-02-05,1.424539510876515
2022-02-06,1.4496502709920578
2022-02-07,1.3973306257498792
2022-02-08,1.3858326707962327
2022-02-09,1.3560348117780974
2022-02-10,1.614396580238723
2022-02-11,1.5548739374696285
2022-02-12,1.4289516938217006
2022-02-13,1.3639795572641438
2022-02-14,1.4159751625923287
2022-02-15,1.3623578501980746
2022-02-16,1.472100733481864
2022-02-17,1.4037561809835706
2022-02-18,1.2785110593223565
2022-02-19,1.270962946077832
2022-02-20,1.180696752650319
2022-02-21,1.1530113985963728
2022-02-22,1.0480333417667793
2022-02-23,1.0673912671801125
2022-02-24,1.0428013814646586
2022-02-25,1.0773836552563705
2022-02-26,1.1020895492860705
2022-02-27,1.1426406973235539
2022-02-28,1.2624268462839197
2022-03-01,1.31057380408118
2022-03-02,1.3079344782084714
2022-03-03,1.3012143432292052
2022-03-04,1.2436890099702285
2022-03-05,1.186379083590351
2022-03-06,1.2094449949903
2022-03-07,1.163868047638475
2022-03-08,1.1497959557894426
2022-03-09,1.2124368194087385
2022-03-10,1.2326087259348053
2022-03-11,1.1928284711323094
2022-03-12,1.1770556438543636
2022-03-13,1.1638763225159903
2022-03-14,1.1355922801396643
2022-03-15,1.1329911221269242
2022-03-16,1.053525722396099
2022-03-17,1.1406632214294965
2022-03-18,1.396948099320613
2022-03-19,1.2199005470336268
2022-03-20,1.1921863240754642
2022-03-21,1.2141093650396044
2022-03-22,1.1930609388720923
2022-03-23,1.2017822713230382
2022-03-24,1.2184261358715474
2022-03-25,1.3374055395672424
2022-03-26,1.3749554517031133
2022-03-27,1.484234089750838
2022-03-28,1.759583090424976
2022-03-29,1.7388826263782893
2022-03-30,1.7135215111293869
2022-03-31,1.8791704357333467
2022-04-01,2.1008669611762074
2022-04-02,2.5364208687448464
2022-04-03,2.4895745333947708
2022-04-04,2.4905274131288997
2022-04-05,2.4705199140867466
2022-04-06,2.228013157517277
2022-04-07,2.1228513581556157
2022-04-08,2.355731637606147
2022-04-09,2.3293231119540803
2022-04-10,2.4425927070963076
2022-04-11,2.7845884843020188
2022-04-12,2.5837304190248656
2022-04-13,2.623667120205309
2022-04-14,2.880793544999253
2022-04-15,3.064891064583855
2022-04-16,2.8720178517173407
2022-04-17,2.770781013472447
2022-04-18,2.800988509259123
2022-04-19,2.813363572075765
2022-04-20,2.745823517864462
2022-04-21,2.623128505516715
2022-04-22,2.416925270808933
2022-04-23,2.609322799802033
2022-04-24,2.6700860373306896
2022-04-25,2.546336749707733
2022-04-26,2.4059406842707163
2022-04-27,2.0106941287515974
2022-04-28,2.0322152315486868
2022-04-29,1.9918657387124001
2022-04-30,1.7578686334155988
2022-05-01,1.6257488486520033
2022-05-02,1.5586942916385107
2022-05-03,1.8164761481048433
2022-05-04,1.9000262288508707
2022-05-05,1.9880871696296014
2022-05-06,1.635903201064422
2022-05-07,1.694770308760705
2022-05-08,1.7195751746588275
2022-05-09,1.6182869693185982
2022-05-10,1.401551980396415
2022-05-11,1.380614352924668
2022-05-12,0.9789950682170859
2022-05-13,0.9734617721041019
2022-05-14,1.0809529021368793
2022-05-15,1.1527290451722798
2022-05-16,1.3637068743112473
2022-05-17,1.1986129767238478
2022-05-18,1.142969270275051
2022-05-19,1.008925677811133
2022-05-20,1.0572210441627004
2022-05-21,1.1151845147250081
2022-05-22,1.0326943820966996
2022-05-23,1.081062058068675
2022-05-24,1.0518649528491186
2022-05-25,1.054053123451631
2022-05-26,1.0302154471750442
2022-05-27,0.9300943492587403
2022-05-28,0.9185399017297423
2022-05-29,0.9282621395653972
2022-05-30,0.9791305880006282
2022-05-31,1.0615918267325641
2022-06-01,1.0286308069679029
2022-06-02,0.9488619409027833
2022-06-03,1.0454097881619528
2022-06-04,1.0178402200292076
2022-06-05,1.0338188713324006
2022-06-06,1.0217166675556737
2022-06-07,1.0101051161403645
2022-06-08,1.0139433668075082
2022-06-09,0.9613803936675553
2022-06-10,0.9514121330913798
2022-06-11,0.8901213091663436
2022-06-12,0.8076366299179406
2022-06-13,0.7058821234212294
2022-06-14,0.6859588206007625
2022-06-15,0.6827404736496681
2022-06-16,0.7893221675905786
2022-06-17,0.6819859688931584
2022-06-18,0.7042517779503336
2022-06-19,0.6333856709315292
2022-06-20,0.6960859311118918
2022-06-21,0.6764787029421241
2022-06-22,0.7140856393043463
2022-06-23,0.6922010043063099
2022-06-24,0.7287971992862419
2022-06-25,0.7597619997282627
2022-06-26,0.791941499085261
2022-06-27,0.7717170412003869
2022-06-28,0.7592002734325386
2022-06-29,0.7291170364932409
2022-06-30,0.7014075807849772
2022-07-01,0.6535321861999178
2022-07-02,0.6498628407097852
2022-07-03,0.6663349536810589
2022-07-04,0.6688924117391666
2022-07-05,0.6909764014142993
2022-07-06,0.6833071397659359
2022-07-07,0.7069739785731105
2022-07-08,0.7180208466082938
2022-07-09,0.7068948456860593
2022-07-10,0.7347693608120789
2022-07-11,0.7218291445758859
2022-07-12,0.6956341178568168
2022-07-13,0.6933423667639105
2022-07-14,0.7012892476040008
2022-07-15,0.7161491056479055
2022-07-16,0.7779470567770589
2022-07-17,0.8553063753128555
2022-07-18,0.8197555060397925
2022-07-19,0.9810440595974195
2022-07-20,1.0415595016192305
2022-07-21,0.9692169731461505
2022-07-22,0.9203848946102863
2022-07-23,0.9197524809462141
