address,balance,lock,balance_lock,is_EVM_contract,display_address,evm_account,registrar_info,count_extrinsic,nft_amount,extra
8e113de45a800d5fe858a56c02b663ffec8feea67f0b8f80540d203422c9d161,219798997105950098,0,0,False,5FGyn7g6AW3CMMiLY6S25wLuGRyJeXGf55F5PCmHRdQAGGiE,,,12,0,
362f6e7509be53216bfc7bf1eea62837ba2e380da3a543e1dd4ee8ab8953c122,217499999749999704,0,0,False,5DHkXsMFmvDSjePNkGVLS4wsDBTA2Q6PKHaBE4gccg79PXC1,,,2,0,
3602401e892d1f501cc5eb34b25427d410046393d7230fc1eee8c36b261d8b6b,216294722384270496,216289624055360685,216289624055360685,False,5DHX7RDKXZ4hqcEB6qNUFQSYHLAfLfQVNZhbcXSxhgnaRyvv,,,4,0,
793906d435de1122719a859bffb56e4a435b277f0a5d09a24a2244e6f0ceaa4c,216103669031377985,216088669031377485,216088669031377485,False,5EoebGdiy9nRsEGeUvBDdaTqDWDtsPMj2kApTAHVD8bbRWzV,,,0,0,
9cbc848f63f6e1b32d4dbac9e2f9cc8fc66c3e4a56bedf6e52a447a98fc2e71a,214814999562201893,0,0,False,5FcDL1sbfu5yGTVdi4D4s8mrrHQfKpJc7YsrsLpmzPtG6h1z,,,1,0,
2f1d3a2f8a0d3b7cd64ff169521b80be64e8c5b22838971e53c23065d6969adf,214321997117910627,214321240117910627,214321240117910627,False,5D8Unn1kmqinVqUFs2SDDm8fDB52wj24Qo3eNo5QXzF5WAEm,,,0,0,
66f9f1ee4f2ee7ba404b3d56836623abac8c7dd0c4c36aef92117bf3225dc852,214320629079780126,196728158990368292,196728158990368292,False,5EPizQb3eyZXA6RZdm5YfW2AseaG8DK5aF1YHFCV4vG6gUVb,,,6,0,
6c8581c4099fee011ecd03adc910e2cace5ac22ccba883c837640d74b4297836,213316392630102924,213315962756503484,213315962756503484,False,5EWzgtWHjRjmTMa8MvAkwyHiYiXCt8KQ9k2ouZMnFqU3TVtB,,,4,0,
5614f75c3019efa887b0517a55e8cf375f622b8c6d537e29d9c731453057fd04,213283174194894395,213283174194894395,213283174194894395,False,5E1aCkuJQpgnCooNi6Jk3RAHuWsTmX6FWd8Umg5Q1mg3AcFc,,,12,0,
a8e99eb8a86ca192eca0fac88cb7cbc22efe99b5028a8a1d006525579c75ec56,213094078370290278,188380000000000000,188380000000000000,False,5FtBJSFwTqZBYPAJUfQSjPFwrCXKYYYMoboHtdWw9sxiH8rk,,,2,0,
f07a88542fc825290d9298b0dbfe314818a6b661810cad5383747d5e5fc1ff50,210508999575384172,90275442368385550,90275442368385550,False,5HW1kQkNK32fpvbo2cKse7GbL7b64iTopoX78TtyBegTqrXE,,,3,0,
84c2157ebc92e1bb08911514526d610cb74cfa6963429fefad81a035bed1e46a,209976822614912839,209975814229713325,209975814229713325,False,5F4mqGChzZLk5bGhqqWQ26vUjRPQ56xyuxnTgaS9muCVXWNk,,,3,0,
5d1d2b299e5f128d32e4bd62a98d10af469ca74697260545e92b0235ac794068,209679000000000000,104840000000000000,104840000000000000,False,5EAnyXEuVuTBo23hLMTpPG9TdDTAMXXTWsZ4exwyjW6uJu5q,,,0,0,
f0c8f0e5495e027fdd62dd531d574f2fe50cfe88254a30b0a1de8ba55533fd2e,208662880463631277,208474004084933340,208474004084933340,False,5HWR3Me1EXAnBDz8ms1k752io3iSmWxJE3KvDoSWuMLeQV2L,,,19,0,
52cdc3afed833f16edef44f777ca3a3505e1cfe09b6fd78d7ab8aefc1c4bc691,208565816284293644,208565816284293644,208565816284293644,False,5DwGueTCq2PZtTQKYZxeYRZxHmwAa6zeZHjMH2r5hkdczS4t,,,14,0,
1c325ecbaacf0d2a0e0942aef5fd15541637979f5dfca8e1c7a1e02e1c37a519,207727692289895889,207727692289895889,207727692289895889,False,5ChgAHyZqisbmPhTmFFyiFU6azdidumbNyA62kr775kUoujk,,,27,0,
b2a1edf4ffabf351567808f0fcd5686cd360ead0307f0cf8c5612fee4ca73d30,206965358959571834,206616662418368615,206616662418368615,False,5G6vV1bdgqAoyxmGnNCgUrVH2rej8a1TkSrP9gyPs1YxLTiS,,,126,0,
2cd2e56df55a4fd0be2721365edb3a45eb7706a3283578c1c838dbc2eeff1045,205432310305638455,205432300305638455,205432300305638455,False,5D5UcXZ7n6xNC3Tb4HSxHWKfrNajBvBsftYqUrMpASVjErBw,,,2,0,
18102a86fdefe68c16545c8899b0bc3771831da1b78002daf6b7edcb65a8ec06,204915275372384657,196668323045798586,196668323045798586,False,5CcForqWLuyUw4yHg2Gbq8dTGjBxpM5QqJhLUdeANr5VpZoT,,,8,0,
c4884a977cdccc26a2b1714116b05b1d5ca413d000064afe697e384c7147af48,204205340892570191,204204350845458366,204204350845458366,False,5GWPjGV4SAaKjJytVyj1ukcmvWKmLCmrwekXAhcNDn3A3kmD,,,8,0,
d01b76b6e0486615e99292e98391404f07719f08b8066b1cce3633735dfab550,203001502998054378,203000000000000000,203000000000000000,False,5GmZyYCvfxuCowxVRYqq4x4Mum1KeHYQHQvZsMbs7hFMDJXS,,,31,0,
befe57353e8f0e014d3ba5da455479568af83cf43df0a3870876843da5141b19,201692423941637374,201692099184257499,201692099184257499,False,5GP8WYbvZPrrXkoaXSKRa5NgDkH2wYaG8qKUXqQAHht8Dmft,,,3,0,
bcf7072ceacfee3e81bde786826216dfccb1312dca77322a48b6662f3dde0327,201098299994552111,188380000000000000,188380000000000000,False,5GLUEzob5zYeZG7tescRwY1nD2Jxd2WYZUKFtYM4R4fBuFSb,,,4,0,
68249cc88afabfa38368fdc5c71c799089b242d10bf10cd171a156953ad04b4d,200573005514039110,200000000000000000,200000000000000000,False,5ERFiKuosQ28otNAvgVwMJkuiGLrezmGcFgJXkKYt8GabevJ,,,6,0,
7c7c5159ea95877d1500f53e2a35274e5b1e4e641dbfb89c4ad084f100d32426,200082088911111274,200082088911111274,200082088911111274,False,5Esvj11cn8fyRe3x9eKkBNBFYDYkVaGmWrXeyG4QLZxLCwKH,,,6,0,
ecbb392edab7b522a34b162729a5f68712e23f9bc47b8d9c1f269e58caf22444,200081007986139388,200081007986139388,200081007986139388,False,5HR6mu3iFiK6qogoXQNAKLgskxbVcgswnxYqFdFU4Wyyr8N6,,,5,0,
42b502b3171622abe0765740421b1190ae1358cbf7822d3b69daa2626967fe8d,200039998012128139,200000000000000000,200000000000000000,False,5DaAniALH4Pg7bhAVfD9BKSg7BM4xdAEuT5ZicKFhia8Zk9L,,,3,0,
3a686cdd62f2a83f728c3d37593a408c5b6f19069f4dad0999a9fe8b846c085e,200000847989357513,200000840000000000,200000840000000000,False,5DPHexXNemQcPHMSuZkkn3yvN6BwdeK7T5Y5q95sbU77YUU8,,,38,0,
cc5b7598352ee39337c6952ad185c19ca30642f91ade36efc00da3ff443fe968,200000748592606496,200000000000000000,200000000000000000,False,5Ggeo3mbNaiZZVE1RJaSKB4kD9qeqy78hRiFE6tWUbazCbPS,,,40,0,
2e841d95f68cf7a7442b28f045b1ca73f4dcb331c6978e25793802308ad50c6e,199988999350455564,0,0,False,5D7hJiuoxsC8PwYdGb3cNyEUcCEBRb6tW83ZVnYyEXV4Su5C,,,3,0,
982b33a0c59fb247760fdc6266c8c0e274836e50c36b38d05cdf6847e86f5e44,198467836337861060,198465829077689364,198465829077689364,False,5FWDyAggey5QFuc5HzsQ51uiAKUZPgmZwe3rC24aKiZpfnWv,,,2,0,
ca42aaeb64d811fb55cdc69e30847334458a3e999bde1a7dcc9f04925b59615a,198355339843816728,198355239873337942,198355239873337942,False,5GduLLqkAe1ibqZLGEqfwuN43yGnC3iH71v4gcsEPYaHXoYj,,,1197,0,
ca96a037d691b8fb30565e30d8ae2770803f42acd4a45684767d23ca1653b650,195666331186626101,0,0,False,5GeLGufzzfPMeW8NcmZcN5eSBLCQKVR85JJE42BG6dg7TL4P,,,935,0,
deaa5bbc87be73a861f3a39c6010a33277542b3c310d09daab08a2ed59a35277,194070344103169862,185419886209046871,185419886209046871,False,5H6f6SNFBQBhsHALeZQ58SjVmskBFTMDRsREkAYffqhiWhZy,,,10,0,
164bd49ffca50e07fa74e1f1f63e87c89cad9dac0bb66d83efe8e733b487195e,189000508642368218,188380000000000000,188380000000000000,False,5CZwSJM2XDiXhqXct4FALqqGzimc3m7PAP4DGemSMfuAtsWm,,,3,0,
d2b14493f9d7cfcafcdfc3dce22e04f7c7dc87dad3fab3ff05739fd87a97e449,186482777144621253,186481777259454264,186481777259454264,False,5GpxaAB2ibmyy6kDczy34i3sKNDzxVcu2gRh5jEPfr78ouJk,,,14,0,
f0de2bd82fd5cdbdabebbf36738cc854965a3f66c736833ddc02bdede5b7377c,186286891857234276,186286693760132567,186286693760132567,False,5HWXM9QFqnDSfL9TEvLhtfjzJoDZNLpBEEDeFVuiy6Mu3fJG,,,73,0,
28e79a417a03bc0fcf221f36a5f522df1279334e71b00de978a18de9f53bce2f,183946006476262823,183945990500077576,183945990500077576,False,5CzLaBRTjH1SC38ehSxJaRPCWz6yiYyzWEVqbVB4444A9fSH,,,15,0,
3ed8917d86b364ce02054534ece6064d12806eb5ffe9ca299b42b05ed933c14f,183372996820620068,150000000000000000,150000000000000000,False,5DV7AFJiEPb9ZvMYyJ6p2HJxmNDJHkFgHpBZqnuAw394EhTQ,,,13,0,
58266cb9c00c5ae833c5cd5f0d1ba1585e62d797be4f34669e1810e55d90c267,182724262369737602,182714263444765217,182714263444765217,False,5E4HV7bowrH4nD6h5KHQb4RpT9uDXuHw8zjDE8d1dykP6z7y,,,6,0,
c0848ea7ec0061677b036cfce099f6039a958791c229e8e30319321f11647768,182710340166582378,182546118320126773,182546118320126773,False,5GR8RpaK8mbTjUaK8VHHn1Ub3sQkM9wJPVB6tiejBk3RUSgv,,,221,0,
c09a7fdc89a66094ce97850f49ba5774c369797abe1eed0310f9961212ab6741,182520380940739170,168285374206879768,168285374206879768,False,5GREwsntK37X7pYLzaCQKZDGsMCFafBVFy3xGiXKMVf2dwDS,,,4,0,
4aff97a8e2269aba4bfaa6de93d994fc110fe0cc04b018fabd025a3e84df5a57,182373674262277624,182373674262277624,182373674262277624,False,5Dm3KwkXK9hNyUyhfa4x9Cfoa4yockYsFRiVJuLZNRtP8GbF,,,9,0,
6d6f646c70792f6e6f706c730003000000000000000000000000000000000000,181932647726274491,167110106910376826,167110106910376826,False,5EYCAe5ijiYfAXEth5DCnu7deQUzBv5oigHXcfhfexd41ceB,,,0,0,
d0b1f3294f3b6d4adc749862ebe7b804287899979a74625d004df20b6598d800,181405380905193797,181405380905193797,181405380905193797,False,5GnLgMWHCvLoTn3yrRfVhbn2Rmoea2hvGhBPR8XuM1mwZWcD,,,131,0,
3e97b63ffe2eb76931ad9cc91fcdd5776d22ae31be2f0fb149832f80f9dcff5f,181266274803151383,181266274803151383,181266274803151383,False,5DUmtoDHWRDVNx7bjaeVgb2bvyvzfeXoNueNy9tiuhuSdgrE,,,4,0,
8c9454af44d41bcea8dea1277514e266bcbcb1d894b7513729a287bb40c70808,180610343391794759,180610343391794759,180610343391794759,False,5FF2dAyJv9DWfKwBZiYno2KnNVuaDiCdqXMcQHBMpuNDvw9m,,,7,0,
f8d72d37fa7d2cb1c19a115745c691db11983a00323ca944a6753805b1dbf00a,177563229446101362,177561223260957780,177561223260957780,False,5HgyerDqEbxYRcrrZNUFCCcsvV8G4ZytFXrqM2SYcqPsvfxr,,,3,0,
474ca1ba74f4b3eaa049afd39f5c981b00bc963e60db22b6937574a2c3509b42,177511493000000000,0,0,False,5DgC2C7AAZTLpwTVUHuKgEgSPz371MYoZ8ctwXtVvBD87gHY,,,0,0,
1e7fa3de615e4792eb5c50a43b988380143f77d6ffdec8cabd3e848be72b925d,176548528608763054,0,0,False,5CkhDBAYheZgEz3khR2Djsb5mAoGTtzAJeZN8ZFwrRjGk3CD,,,657,0,
2af4afe6ed0d954101460cf5166bb0344f05036be4d117586061e5db487aed69,175422458165108154,175422106682357623,175422106682357623,False,5D32ZBCvhd3y2t9BJkYBTaYVBc6LUTsJei2mqUEYogLfYJer,,,67,0,
4089796c40a1b7ad4ee89c65b5f358b6c27df666461be8c897b930992ff86e55,174369070000352343,174369069583956121,174369069583956121,False,5DXKm3W8aPaRrDh4kFDPqcYUeqZmrJuHdoPTP2UKcbndjTYP,,,1,0,
b2924b760d97d7d5447b27c6cc59d9c3bc6017f2d952d2920b703ec480e74379,173843053370007932,173546450596146525,173546450596146525,False,5G6qqdXkmwrN4CMgyPRVB3NwRQfM9Uo3iHyxXNGcc7R4t71c,,,10,0,
287c3e9904d41a27e5d0c3c00b36222c77e8a9bce3a58c0de6d3a9a027d8b917,173509426923368362,0,0,False,5CyngSjifcftbCoLBfupid1VosvtdxiLGQ78oHT8KrC81mJE,,,38,0,
a8658bc1839602d5ff2ad689051e387092dcddc952c78b9972871d9d31092702,170630222376433462,170624539380158890,170624539380158890,False,5FsW4rR6wRquq6Rr2KstwX5KxQ6izz11PELNmKkkvtYNKDbK,,,7,0,
609e60eff24545fb5a81e69430625a11cc090930ef5db88e20cb3c42f6edb634,169862382539967463,139371293745921222,139371293745921222,False,5EFPW6GNKEBDf9ptTpgfJLLDAMawrvox5M2qPVPwnCZCrCxv,,,50,0,
b46e81a5b04c3d69c8e64c4139e6e1dc38e50510dabb39abe2b5999ac063a052,169101755064145785,169099040575094707,169099040575094707,False,5G9HJZpKSahTaGE7Gs2PHXnu2RW5j4nEEKaiC2EXLA467P3y,,,74,0,
5aed850a33819905e8c679475e9e7e04897f7f514af17cc5e87e0d8bea38c46e,168066366373715064,168066366373715064,168066366373715064,False,5E7viziG9VXeddUuNLjMgKfPaatHibPpmMph4DbGSD3nz1RW,,,3,0,
c6847c89904586385a831858f5909fb823e2de1ac5523d57bddde804c58cf01b,167903043742200768,167892036482029072,167892036482029072,False,5GYzhGMQfGw8Z5N5SFn3ph33cBaWmidi65PLzDB3tufwL5wL,,,2,0,
ac82338856d141ca9da9e528c98586fb64f0517ff938c1d8fa1447c946bb1d53,167753695965673559,167748688705501863,167748688705501863,False,5FxtmgYvuHhH2eh1td7i3AVxFkKegWJePkqQuBCms6ieHy6g,,,1,0,
645ccee9695d265c4976dfefe4a492a0e415b87ddbb230d6feae9774deee963e,167724456317483504,167724456317483504,167724456317483504,False,5ELJDSzVjVF5iJcvPEc7GykVLRJRNrJQAMdg1toXvyS4ebab,,,22,0,
