Transfer ID,From,To,Amount,Block Timestamp
3194016900008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,430,2023-05-24 15:54:35
3194021700002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,2744267.726197710848,2023-05-24 15:55:23
3194026200004,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,2443725.8385661033,2023-05-24 15:56:11
3194026200010,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,0.00448,2023-05-24 15:56:11
3194031400010,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,313005.993199628816,2023-05-24 15:57:07
3194031400011,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,633.615370849451,2023-05-24 15:57:07
3194038500010,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,207680.865236491219,2023-05-24 15:58:22
3194038500011,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,420.406609790468,2023-05-24 15:58:22
3194054400010,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,134788.801676472597,2023-05-24 16:01:04
3194054400011,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,272.851825256017,2023-05-24 16:01:04
3194059700010,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,89340.840320940814,2023-05-24 16:02:01
3194059700011,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,180.851903483685,2023-05-24 16:02:01
3194065400010,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,59296.53603852908,2023-05-24 16:03:02
3194065400011,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,120.033473762204,2023-05-24 16:03:02
3194071600002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,62000,2023-05-24 16:04:08
3194071600008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,124,2023-05-24 16:04:08
3194074700002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,92000,2023-05-24 16:04:39
3194074700008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,184,2023-05-24 16:04:39
3194079500002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,140000,2023-05-24 16:05:27
3194079500008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,280,2023-05-24 16:05:27
3194084100002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,215000,2023-05-24 16:06:13
3194084100008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,430,2023-05-24 16:06:13
3194086700002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,330000,2023-05-24 16:06:39
3194086700008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,660,2023-05-24 16:06:39
3194091400002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,3529601.773684165632,2023-05-24 16:07:26
3194096300002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,2162746.184855493632,2023-05-24 16:08:15
3194099300004,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,6534867.044735036889,2023-05-24 16:08:47
3194100600004,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,0.000000000109,2023-05-24 16:09:01
3194107900002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,57000,2023-05-24 16:10:14
3194107900008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,114,2023-05-24 16:10:14
3194110900002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,87000,2023-05-24 16:10:44
3194110900008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,174,2023-05-24 16:10:44
3194113600002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,109669.272984382528,2023-05-24 16:11:11
3194113600008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,219.338545968765,2023-05-24 16:11:11
3194114800002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,109669.272984382528,2023-05-24 16:11:23
3194114800008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,219.338545968765,2023-05-24 16:11:23
3194117800002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,250000,2023-05-24 16:11:53
3194117800008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,500,2023-05-24 16:11:53
3194120800002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,380000,2023-05-24 16:12:23
