Validator,Self-Bonded(AZERO),Total Bonded(AZERO),Nominators,Commission,Grandpa Vote,Reward Point,Latest Mining
5DcKT7iesj1h6qww11r4sTKVW9W8mDypJAnqsrsDyRci8WA5,"25,000","25,000",0,5.00%,0,38710,91002587
5Gjy5yh1ZtHFDkqptN2UqyMMqTjPSZSH8nJcz3oTA6Z6Dtmy,"25,000","25,000",0,5.00%,0,38710,91003468
5FTvJh48vCxb6nN6GMWick51BefLxtxSTmx5XMdXX2ueW7pH,"25,000","25,000",0,5.00%,0,38710,91002594
5EptWnbCf3USibHoeKinzxbG9BGDYgDegS32ZhFpiy5Tv23k,"25,000","25,000",0,5.00%,0,38710,91004097
5Ef8JnMbyR3mmQ4Ka3qRYoCMAm6oMQWe2pQqs6ejTgcBydst,"25,000","25,000",0,5.00%,0,38710,91001694
5EUr7MpjzMzQUbAV9ayDokhvGYyTakoadDtJ7zUfa9JmYkoT,"25,000","25,000",0,5.00%,0,38710,91003480
5Hg7AoE3DQbwjbRspgDNEPFotPQTnYZzw6z9eQHgjZ96Ui8g,"25,000","25,000",0,5.00%,0,38710,91002563
5C5JGfEfWjjMb93662YShjjMJpWCYFaVL4XP324seb3gDZyW,"25,000","25,000",0,5.00%,0,38710,91002561
5CFb5971cUWrJ4U7FU4ixjVi4z21eYr49WVenURmp2bjgYzm,"25,000","25,000",0,5.00%,0,38710,91001692
5Hg3o7pFytwPySAqoZqDXBXwG5a8p7mQfmSMBubi4CpGrs7c,"25,000","25,000",0,5.00%,0,38710,91002553
5Dpz6qMBeDpNBR4ySMAekL3Rx2HNi2KTdC4ZFeoftqPKEEe8,"25,000","25,000",0,5.00%,0,38710,91001685
5G6fCsytPQQY4kxzqj8BYXKsPMtaGwMvNe3tkbH6wymQA5EC,"25,000","25,000",0,5.00%,0,38710,91003483
5DcHEjTFJdWU7n7JZpUoGXH83mTQowRPswk5CA1dnHLCFgb5,"25,000","25,000",0,5.00%,0,38710,91003469
5FBhhaMsbF3qJdGqktGQVAmdG2cDQXNTTEw55UUYr5T2rU5L,"25,000","25,000",0,5.00%,0,38710,91001676
5DJpQmZA9274QGAkCYVTuM3yGA8kMsTEMCtYGrzfEn5xLsVJ,"25,000","25,000",0,5.00%,0,38710,91002593
5GCQA6B6AwJ5hEth3ykGH3WuqWzwWyBZzyVXsUzuWmRtxajd,"25,000","25,000",0,5.00%,0,38710,91002566
5C5iGGmep7GvJVrdjgCD9UUbf7PZvq6ggtBTRKs83C2v536P,"25,000","25,000",0,5.00%,0,38710,91001690
5F1PSGv7fbdoTiadndG7E4o4ocDEFjBDKDBQ23pCSVCH3t4W,"25,000","25,000",0,5.00%,0,38710,91003461
5Hgak5fottM7DZRWogdrrWBXc81GdBvzUiEHEoWfxfbXHgsJ,"25,000","25,000",0,5.00%,0,38710,91001652
5Dt6CgiQSCvNMCCpXNoJxVfnenX65f14Wr5X1tJys5o1opDB,"25,000","25,000",0,5.00%,0,38710,91003497
5GGyCUUoeM4PGBphbNhwKg1mWSAtXkfTZyLfeAyWNiWLhR7i,"25,000","25,000",0,5.00%,0,38710,91003459
