Validator,Self-Bonded(AZERO),Total Bonded(AZERO),Nominators,Commission,Grandpa Vote,Reward Point,Latest Mining
5D5ULUW4YgE94oAGeNat6pB43Dzi2GabT1dbD6srA4iBS5dY,"41,623.77299070472","1,556,469.65459705732",1,5.00%,0,2409330,91002565
5CK2GZvpmKYxJQXMQzHa2vvHLf5cibuWK4qkcCem2p9PXYx1,"26,000","1,531,948.1532289922",321,12.50%,0,2371390,91004101
5DfkYqdsHboM1PQceB756MQxdmXbBUYLWUh6jYzmi5hgGFax,"1,178,285.8512975196","1,531,484.42233898448",12,5.00%,0,2370655,91001688
5F7LMmcnaZVUb3sWcTqqF56Qhhiku6BB8wumb9TpqaxUUrrR,"1,510,242.94930850226","1,510,242.94930850226",0,9.00%,0,2337790,91003500
5CoxXHzXRZrnVkmdDhYVHz5b6PJdCRmR5yGSQmQwzasHyzaw,"26,000","1,502,651.96447902564",246,12.50%,0,2326030,91004087
5HbkHKhATyADeZrGCqsdrrynnw5ZD6XkcNLFB5su6ryNvQJ2,"31,616.0597183306","1,429,057.22661336728",65,5.00%,0,2212105,91003486
5CJJqLZxKW8HLoma3ogfmzvzHpSVN3fqJ8n4QqTzA7f9TVry,"1,281,830.35080190646","1,396,981.23987265204",5,5.00%,0,2162475,91004124
5H8WX3cQKhFHHWCyfxUEMao9dTJNkE4Vamsx2GXWBaPTvfix,"1,343,086.43072399026","1,395,118.35351431836",5,5.00%,0,2159570,91002578
5GNZhKZ55782WNy7xRgdMBVwDc33qgUzZs6wyNazUJDwtwdD,"57,000.01277653282","1,382,608.59659222652",66,5.00%,0,2140215,91004105
5G9C4R35Din2ZzY6y1taJSC65Ete9JQS6TCbrr3HzTyW9Nc6,"1,358,640.35066712936","1,365,754.20558696094",2,5.00%,0,2114105,91002577
5EC7gyGjycb4bKWGTVFYu3yWyxS586FbsVPaLNRAH8Bt1Yxp,"1,332,588.3081994515","1,345,017.73171929068",1,7.00%,0,2082010,91001655
5GhAbdgaGaNobd927sgaxEBLKNj41bsE9mfPtjWEfHDtdzUj,"1,312,630.5723922552","1,330,079.73049453118",3,5.00%,0,2058910,91003454
5FA7cBE3cF7B3tpjKntk7wrTDUVE7RqipUCRNuGJdeR1tx75,"1,327,263.16336758992","1,327,263.16336758992",0,5.00%,0,2054535,91001700
5CfDUiJRnvijd948BAJU3aegw9U5hCJRQU6JAcTNK5yj4uKp,"72,019.15165619782","1,315,044.6295638802",5,5.00%,0,2035635,91004123
5FgxkphBGvm5ju8gaLFJUjkrEU91Kos99E5Fow6xwDi9466p,"1,300,000","1,308,486.08681828086",3,5.00%,0,2025485,91002592
5GZ28wCfo1cbStUM6BZPKMihKswmLvNwLQi5nKJacFjfxfP8,"30,478.98763136122","1,185,891.90544938396",10,5.00%,0,1835715,91000789
5G3zom77dYvquCJEy92ca59hcS5bDVFsLWkk2PVYj2sister,"42,000.07528998832","1,164,831.4647474288",68,5.00%,0,1803095,91001699
5HTqxQJjEnAzunBpr6mXzRAjnSCPrNUyqvwNzLJx9ty7Eq1g,"1,149,642.51285944412","1,158,833.93215449754",3,5.00%,0,1793820,91001689
5DoSWKmubRKpk1sNWJjSreKkW5fWPyVDFEAkL2E18Z3UZMbr,"25,000.17732612516","1,156,438.10037018304",21,5.00%,0,1790110,91000788
5Ggatomsdkh6ByjPUfrHvEhdGpGNFh8rai1cdzokJz3KvgD1,"44,583.77195132102","1,134,810.80515337346",8,5.00%,0,1756615,91002590
5Df8FnXGBa4euYHfMyPRK2CJwHmWCwpWVKqu99N7XqKj8wB1,"115,276.06135317368","1,092,019.28739361958",4,5.00%,0,1690395,91003471
5ECLtXxohTfu9E63MMEXpzVkALmCGbGt79WVdtDhMqiLARJT,"25,102.12173297654","1,077,718.38211991012",36,5.00%,0,1668240,91000776
5GpiJXpQ1jhSEFh4UdV8foTqMBEPV3HKE2fG4ijHj2N6easc,"30,125.7671048714","1,054,804.56017182362",1,5.00%,0,1632785,91000785
5CSkE9o7krWKFLoBUvhMqjLEnJSt7iCUHwG9sBbjkAPisHu3,"29,766.83667705234","960,165.428169146",1,5.00%,0,1486275,91004075
5CeaCAGqv3nbenDbgqYqyeKbSAnxDLdgSqALjAy81iKfQyfh,"914,815.58321969534","914,815.58321969534",0,5.00%,0,1416100,91004112
5CZtrSYaexzBntHFgCdsmnJpeyZy4eNJighL6vXLffEzCVvc,"40,432.7441087053","900,718.40402737636",6,5.00%,0,1394260,91002579
5GLVPAGaov8YZQq1fgrRyuMNyLTXNi1ggFQMV2ti2NfkQJby,"891,244.79075263838","900,634.14925270894",3,5.00%,0,1394120,91002596
5FEa13CrKDadmB8Dgr8UYnRExTe4ZQxt34w4EcnAWwycGnEg,"40,077.73118071562","879,930.69848042166",97,5.00%,0,1362095,91004095
5Ggeo3mbNaiZZVE1RJaSKB4kD9qeqy78hRiFE6tWUbazCbPS,"200,000","870,202.20031701448",53,5.00%,0,1347045,91001684
5Dy79kYuTLexQdfoFAkJALmAtiADHPtAhfqU29vvFU5BxGC7,"49,201.65851390696","841,404.6752679481",9,10.00%,0,1302455,91001680
5DRQgiDW1kpf6x8raZWJFamHQ1UHcWQQATkz1NLLAp1m2Rvo,"136,912.06831520628","807,743.15604762238",24,5.00%,0,1250340,91000779
5ExvHHbkKfvpZ1BkaYvN7ko63iFgYsDxUfFxcUZqgeDz8yNQ,"38,520.78860104486","807,065.5802614977",17,5.00%,0,1249290,91004117
5Hb9fWRL3gwgoPj9D5oEaFAs7E5muURMNLSrHEpo9dsLnC1e,"25,000","791,934.45190898018",18,5.00%,0,1225875,91002595
5Ft764w9aA8dMTBM6hC2tFGHeECWQrjxsHxDE93hP1KcH1PS,"32,091.91942603176","740,574.6165390596",23,5.00%,0,1146390,91003470
5Fboy1HM9gBCqEjSF3pPphywg2GfSLQ1qXLdhd5156tQA9u3,"228,022.30178008176","733,963.29112809378",17,5.00%,0,1136135,91001693
5Ek8xfKHf9uyBx1BhZyoESxD3NGRsowTchVhNH4kFk2V4U9E,"25,005","729,891.96930451052",10,5.00%,0,1129835,91001683
5EkWPqhUrqQjV4CBNwhXBdCRRsf2ZJVjCosVeEpdQh6HNWof,"38,677.4927941549","675,494.60918261758",17,5.00%,0,1045625,91001695
5F284z8dnXiFTQhk2c6eMtCP1hfGkfRciYFpQfj4TfMZyk2f,"25,042.1421551562","583,978.71496191754",31,5.00%,0,903980,91003499
5E7QcwMZUahGd9YVQZJXriTVfuD1wS3MRPcLCNyvkoHmPgrX,"32,387.22659241636","553,650.53445060038",16,5.00%,0,857010,91000796
5GWiDQmeZdv2gAbuvS59btiJeukZsMgNB5h4g4UNyQj8rDYB,"40,802.54183491186","469,134.88580723152",18,5.00%,0,726180,91003465
5DD8XggGRHJLbK1NB8f76Gz5YWkKsY7H6GFjHsz2BooogChK,"54,143.14943747538","415,133.65138504336",12,5.00%,0,642600,91001669
5EUKn2h53E7WZPXtYSQLU9VFy4tCqF3y7yPLD3heGEvxRXcd,"29,381.91302525778","376,731.23782189764",37,5.00%,0,583170,91003452
5E4MupVUUiEs78nK6w7ucj8Kqw1hT83iuZPioE9xZkxXSk9m,"200,000","334,765.55497387342",10,5.00%,0,518210,91003473
5EyDRLV7tjkK6bx7LETkpBc6fnwgF2zXYEVLrqMLqMNimEeT,"25,001","330,142.96416947866",10,5.00%,0,511035,91000773
5FLFzJyXxhcXXJ1qkgcyrzSMrxB4SahM41wMHpkGhQTXSKh9,"49,690","316,474.45924584198",32,5.00%,0,489895,91003466
5DfjC131Dx2KYc81B7fMBC4s1ZMkuTnngkWKzsbkqKi1denx,"25,448.9999999995","239,828.30111447948",46,5.00%,0,371245,91003460
5G1jesK59FpsD8sTNQ7QtVC8oXd2DztYT7VdWY11jTnbBWwq,"42,610.13249873494","229,704.87393221582",13,5.00%,0,355565,91001658
5E6Anv9pGdq8q33859y7yYdGcKdi9oiq9eDhSy8p4Sbud7C6,"55,000.00285265974","229,380.89916087458",7,5.00%,0,355075,91004115
5EyEWfrR2u5sWE6Yzch8dtVovzVGEwiBAb4rQr3H58K13Pft,"25,877.60672616408","220,514.22657412328",12,5.00%,0,341355,91004107
5GxJj4VrNGZnRmQgedjSP1PUeDmF3yXvKdXNTjBaP7W6Z5wU,"66,521.79666803692","219,025.25749904512",3,5.00%,0,339045,91000470
5GP8WYbvZPrrXkoaXSKRa5NgDkH2wYaG8qKUXqQAHht8Dmft,"201,565.365789947","205,732.365789947",2,5.00%,0,318465,91004120
5GyDQJytZ3U3K85hU1agJ1WpoVX47FJJvfGETPAtdCSb1CLC,"73,581.28955320546","203,404.4665553458",11,5.00%,0,314860,91001659
